============================================================================================================
Ksea
============================================================================================================
BMP8b	BMP8b_NE	NE	
============================================================================================================
Protein	Score	p-value	Protein	Score	p-value	Protein	Score	p-value	
CHEK1	-0.17373	0.32006	MTOR	-0.25110	0.46652	CDK13	0.05767	0.41357	
PRKG1	0.20817	0.32006	FLT3	-0.35611	0.46652	FYN	-0.39363	0.41357	
CSNK2A2	-0.25090	0.32006	KDR	-0.33587	0.46652	ROCK1	-0.45406	0.41357	
RPS6KA1	-0.12100	0.32006	FLT4	-0.63105	0.46652	ALK	0.16690	0.41357	
DYRK2	0.27138	0.34805	PRKCD	-0.05092	0.46652	CDK10	0.05767	0.41357	
AKT1	-0.06796	0.34805	BTK	-0.03894	0.46652	CHUK	-0.43753	0.41357	
IKBKB	-0.15120	0.35840	PRKAA1	-0.04752	0.46652	CDK19	0.05767	0.41357	
CDK6	0.14775	0.35840	PAK1	-0.24936	0.46652	RPS6KA5	-0.31072	0.41357	
CAMK1	0.19455	0.36292	CAMK2A	-0.37239	0.46652	AURKA	-0.42599	0.41357	
CSNK1D	-0.18197	0.36292	ALK	0.05723	0.46652	CDK12	0.05767	0.41357	
PAK2	0.18277	0.36318	RPS6KA6	-0.27709	0.46652	PDPK1	-0.42796	0.41357	
CDK7	0.12789	0.36318	RPS6KB2	0.19273	0.46652	CAMK2A	-0.41086	0.41357	
MAP3K1	0.20331	0.36318	SGK2	-0.00309	0.46652	CDK20	0.02853	0.41357	
IKBKE	-0.13593	0.36318	PLK3	-0.36178	0.46652	MAP2K7	0.14296	0.41357	
PRKG2	0.22143	0.36318	SGK494	-0.27709	0.46652	MAPK11	-0.48373	0.41357	
CHUK	-0.11397	0.36318	AURKB	-0.40729	0.46652	CDK8	-0.00464	0.43160	
FER	0.17758	0.36903	MAPK15	-0.02095	0.46652	PRKX	-0.30004	0.43160	
AXL	0.19344	0.38920	CAMKK1	-0.30193	0.46652	MAP2K4	0.03783	0.43160	
HCK	0.16306	0.41824	MAPK6	-0.05212	0.46652	PRKDC	-0.33415	0.43160	
CDK8	0.12867	0.41824	MAPK11	-0.35878	0.46652	PRKCZ	-0.32980	0.43160	
MAPK6	0.12212	0.43008	RPS6KA1	-0.23727	0.46652	PRKY	-0.30004	0.43160	
GSK3B	0.05604	0.43008	PRKD1	-0.06365	0.46652	ABL1	-0.03771	0.43160	
MAPK15	0.09397	0.43008	CAMK1	-0.40335	0.46652	INSR	-0.33164	0.43160	
AKT3	0.08679	0.43008	PRKG1	-0.03750	0.46652	FLT3	-0.42593	0.43875	
PTK2	-0.05818	0.43008	DYRK1A	-0.00636	0.46652	MAPK4	0.01058	0.43875	
PRKX	0.08453	0.43008	CAMK2G	-0.33336	0.46652	SYK	-0.29476	0.43875	
MAP2K1	0.09234	0.43008	ATR	-0.33824	0.46652	MAPK9	-0.06858	0.43875	
PLK1	0.14012	0.43008	ROCK1	-0.40371	0.46652	MAPK6	0.01058	0.43875	
STK11	0.14802	0.43008	MAP3K1	0.03832	0.46652	MAPK15	-0.00118	0.43875	
MAPK11	0.15973	0.43008	PAK2	0.06160	0.46652	CAMK2G	-0.32911	0.43875	
PRKDC	0.07194	0.43008	MAPK7	-0.07329	0.46652	ARAF	0.09056	0.43875	
PTK2B	0.19381	0.43008	AKT2	-0.23341	0.46652	RPS6KB1	-0.02812	0.43875	
PRKAA1	0.06619	0.43008	AKT1	-0.24758	0.46652	DAPK3	-0.37126	0.43969	
STK4	-0.08442	0.43008	PRKAB1	0.00146	0.46652	CHEK2	-0.30983	0.43969	
PRKD1	0.09096	0.43008	AXL	-0.30143	0.46652	AURKB	-0.32782	0.43969	
RPS6KA2	-0.05923	0.43008	BRAF	0.13501	0.46652	ATM	-0.28268	0.43969	
PRKCE	-0.04261	0.43008	ABL1	-0.08500	0.46652	CDK2	-0.07106	0.43969	
RPS6KA3	-0.05224	0.43008	JAK2	0.00111	0.46652	MAP3K7	0.03278	0.43969	
PRKCI	-0.12008	0.43008	ARAF	0.27793	0.46652	JAK2	-0.00890	0.44425	
CDK9	0.09140	0.43008	RPS6KA5	-0.28229	0.46652	IKBKE	-0.30143	0.45393	
ARAF	0.14500	0.43008	FGR	-0.36527	0.46652	MAP3K14	-0.31795	0.45941	
RET	0.09587	0.43008	PDGFRB	-0.04031	0.46652	PAK1	-0.24924	0.45941	
PLK3	-0.06928	0.43008	MAP3K7	0.08878	0.46652	CDK3	-0.05177	0.45941	
FYN	0.09292	0.43008	HCK	-0.26828	0.46652	PRKCD	-0.06491	0.45941	
LCK	0.06801	0.43008	RET	-0.02883	0.46652	MAPK10	-0.07050	0.45941	
INSR	-0.05151	0.43008	LYN	-0.30380	0.46652	CDK9	-0.06568	0.45941	
SGK2	0.17270	0.43008	FYN	-0.33456	0.46652	HCK	-0.30613	0.45941	
PRKCG	-0.08195	0.43008	INSR	-0.33175	0.46652	CDK4	-0.06095	0.45941	
ERBB2	0.11535	0.43008	MAPK4	-0.05212	0.46652	BRAF	0.00270	0.45941	
RAF1	0.08624	0.43008	CHEK2	-0.33092	0.46652	PRKACA	-0.22080	0.45941	
ABL1	0.07526	0.43008	ERBB2	0.03072	0.46652	AKT1	-0.22165	0.45941	
CHEK2	-0.10958	0.43008	RPS6KA4	-0.35605	0.46652	MAP3K1	-0.03683	0.46034	
RPS6KA4	-0.05175	0.43008	FER	0.22213	0.46652	MAPK7	-0.06155	0.46034	
RPS6KA5	-0.06926	0.43008	NUAK1	0.08332	0.46652	SRC	-0.20627	0.46034	
RPS6KB2	0.13277	0.43008	EGFR	-0.22723	0.46652	CAMK1	-0.29182	0.46034	
PRKY	0.08453	0.43008	AURKA	-0.50580	0.46652	PRKCQ	-0.30498	0.46034	
MAP3K7	0.17261	0.43008	PRKCA	-0.21313	0.46652	PRKCE	-0.23521	0.46034	
DAPK3	-0.14467	0.43008	CHUK	-0.28819	0.46652	JAK1	-0.04974	0.46034	
PDPK1	0.10077	0.43008	JAK1	0.05361	0.46652	PIM1	-0.25620	0.46034	
RPS6KA6	-0.05696	0.43008	CHEK1	-0.32792	0.46652	CDK6	-0.06935	0.46034	
FGR	0.15449	0.43008	RPS6KB1	-0.03714	0.46652	CAMK4	-0.04887	0.46034	
FGFR1	0.14986	0.43008	PDPK1	-0.26917	0.46652	MET	-0.06031	0.46034	
PTK6	-0.10826	0.43008	MAP2K7	0.01637	0.46652	MAPK3	-0.12424	0.46034	
EIF2AK2	-0.13454	0.43008	FLT1	-0.63105	0.46652	CHEK1	-0.25915	0.46034	
MAPK1	0.03743	0.43008	DAPK3	-0.40829	0.46652	PLK1	-0.27586	0.46034	
MAPK3	0.04314	0.43008	MAPK3	-0.09175	0.46652	MAPKAPK2	-0.25958	0.46034	
CDK4	0.08205	0.43008	IKBKB	-0.12533	0.46657	IKBKB	-0.25709	0.46034	
CDK2	0.07263	0.43008	PTK6	-0.21606	0.46657	RPS6KB2	-0.02474	0.46034	
MAP3K14	-0.08196	0.43008	TBK1	-0.08721	0.46657	MAPK13	-0.26951	0.46034	
AKT2	-0.06972	0.43008	PAK4	-0.10159	0.46657	GSK3B	-0.21594	0.46034	
MAPK4	0.12212	0.43008	PTK2B	-0.24140	0.46657	NLK	-0.07567	0.46034	
CAMK2G	0.09888	0.43008	PDK1	-0.12526	0.46657	AKT3	-0.05906	0.46096	
SGK494	-0.05696	0.43008	CDK13	-0.11598	0.46657	DYRK1A	-0.24283	0.46447	
SGK3	0.09439	0.43008	SGK3	-0.06523	0.46657	LCK	-0.20405	0.46447	
BRAF	0.12505	0.43008	CDK12	-0.11598	0.46657	MAPK14	-0.13332	0.46447	
FLT3	-0.14833	0.43008	RPS6KA2	-0.19501	0.46657	ERBB2	-0.08583	0.46447	
SRC	0.03810	0.43008	MAPK13	-0.09475	0.46657	RPS6KA1	-0.12122	0.46447	
VRK1	0.13957	0.43008	CDK19	-0.11598	0.46657	PRKCG	-0.09161	0.46447	
MAPK14	0.04349	0.43228	VRK1	-0.09341	0.46657	VRK1	-0.09304	0.46447	
SYK	0.05588	0.43444	STK11	-0.06354	0.46657	PKN1	-0.09902	0.46447	
MTOR	0.06095	0.43444	PKN1	-0.11667	0.46657	RPS6KA4	-0.24104	0.46447	
PRKCA	-0.02220	0.43444	MAPK14	-0.12730	0.46657	RAF1	-0.23964	0.46447	
MET	-0.05276	0.43444	CDK20	-0.09714	0.46657	PTK2B	-0.28325	0.46447	
MAP3K5	0.07775	0.43766	PRKY	-0.18290	0.46657	PRKD1	-0.10264	0.46447	
PRKACA	0.03517	0.43766	CDK10	-0.11598	0.46657	CSNK1A1	-0.23077	0.46447	
PKN1	-0.04992	0.43766	NLK	-0.13155	0.46657	AKT2	-0.22646	0.46447	
NUAK1	-0.06036	0.43766	PRKCB	-0.11378	0.46657	PRKCI	-0.08282	0.46447	
MAP3K8	0.06474	0.43766	RAF1	-0.07449	0.46657	GSK3A	-0.10275	0.46447	
PRKAB1	0.08752	0.43875	MAPK1	-0.12674	0.46657	CDK7	-0.11442	0.46447	
JAK2	-0.03309	0.46821	MAP3K8	-0.11004	0.46657	MAPK12	-0.23847	0.46447	
DYRK1A	-0.03388	0.46821	SYK	-0.22578	0.46657	AXL	-0.26783	0.46447	
CAMK4	-0.03515	0.46821	CDK11B	-0.11598	0.46657	MAPK1	-0.13844	0.46447	
ATR	0.04234	0.47921	MAP2K4	-0.08962	0.46657	CSNK2A2	-0.21992	0.46447	
ALK	0.06466	0.47921	CSNK1A1	-0.24155	0.46657	SGK1	-0.24427	0.46447	
TBK1	-0.02799	0.47921	CSNK1D	-0.24763	0.46657	FGFR1	-0.24671	0.46447	
PRKCQ	-0.03253	0.47921	EIF2AK2	-0.09476	0.46657	BTK	-0.24200	0.46447	
CAMK2B	0.04542	0.47966	GSK3B	-0.13949	0.46657	SGK2	-0.09429	0.47012	
PAK4	-0.02589	0.47966	PRKX	-0.18290	0.46657	PTK2	-0.11396	0.47331	
LYN	0.02862	0.47966	CAMK2B	-0.11016	0.46657	PDK1	-0.13693	0.47331	
JAK1	0.04454	0.47966	CDK4	-0.20617	0.46657	PRKCB	-0.12839	0.47661	
AURKB	0.03741	0.47966	PRKAA2	-0.20050	0.46657	RPS6KA3	-0.19302	0.47661	
KDR	0.04888	0.47966	FGFR1	-0.09324	0.46657	MAP3K8	-0.12930	0.48458	
ZAP70	0.03715	0.47966	SRC	-0.18868	0.46657	KDR	-0.19898	0.48458	
MAPK9	-0.00250	0.47966	MET	-0.06888	0.46657	PTK6	-0.20496	0.48458	
MAPK8	-0.00114	0.47966	ATM	-0.18344	0.46657	SGK3	-0.12938	0.48458	
ROCK1	0.04352	0.47966	LCK	-0.19648	0.46657	DYRK2	-0.11206	0.48458	
MAPK10	-0.01401	0.47966	CDK1	-0.11849	0.46657	RPS6KA2	-0.14267	0.48458	
ATM	0.02676	0.47966	STK4	-0.26094	0.46657	TBK1	-0.19182	0.48458	
PAK1	-0.00350	0.47966	CDK18	-0.11598	0.46657	PRKAA2	-0.20052	0.48458	
PRKCD	-0.00698	0.47966	PIM1	-0.25186	0.46657	CDK1	-0.14868	0.48458	
MAPKAPK2	-0.01366	0.47966	SGK1	-0.21823	0.46657	PRKAA1	-0.14286	0.48458	
PDGFRB	0.02973	0.48072	CDK17	-0.11598	0.46657	STK4	-0.11981	0.48458	
FLT4	0.03732	0.48072	CDK16	-0.10647	0.46657	CAMKK1	-0.12516	0.48458	
FLT1	0.03732	0.48072	CDK8	-0.13893	0.47410	MAP3K5	-0.19122	0.48569	
CAMK2A	-0.00017	0.48839	DYRK2	-0.12036	0.47410	FGR	-0.19806	0.48569	
PDK1	0.00444	0.48839	CAMK4	-0.18747	0.47410	MTOR	-0.17139	0.49737	
EGFR	0.01719	0.48839	CSNK2A2	-0.18197	0.47685	RPS6KA6	-0.15818	0.49737	
MAP2K4	0.02169	0.48839	IKBKE	-0.14417	0.48867	PAK4	-0.16015	0.49737	
RPS6KB1	0.01998	0.48839	CDK6	-0.15125	0.49617	NUAK1	-0.15890	0.49737	
GSK3A	0.02125	0.48839	PRKCI	-0.17402	0.49617	PRKG1	-0.16611	0.49737	
BTK	0.00569	0.49403	CDK2	-0.15387	0.49617	SGK494	-0.15818	0.49737	
PRKCZ	0.00583	0.49403	MAP3K14	-0.16445	0.49796	EGFR	-0.16460	0.49737	
MAPK12	0.01712	0.49403	MAP3K5	-0.16771	0.49796	STK11	-0.15121	0.49737	
SGK1	0.00405	0.49403	PRKACA	-0.15949	0.49796	EIF2AK2	-0.14723	0.49737	
MAP2K7	0.00676	0.49659	PRKCG	-0.16112	0.49796	PRKCA	-0.15738	0.49737	
PRKAA2	0.01294	0.49778	CDK3	-0.16090	0.49796	PLK3	-0.15593	0.49737	
PRKCB	0.01121	0.49936	PTK2	-0.15824	0.49796	CAMK2B	-0.16567	0.49737	
============================================================================================================
============================================================================================================
Networkin
============================================================================================================
BMP8b	BMP8b_NE	NE	
============================================================================================================
Protein	Score	p-value	Protein	Score	p-value	Protein	Score	p-value	
============================================================================================================
CSNK2A1	-0.26116	0.04241	CSNK2A1	-0.49287	0.00000	CSNK2A1	-0.46100	0.00000	
CDK19	0.22133	0.32883	AKT1	-0.25208	0.00000	SRC	-0.20627	0.00000	
CDK20	0.24099	0.32883	SRC	-0.18868	0.00000	AKT1	-0.22568	0.00000	
CDK13	0.22133	0.32883	MAPK1	-0.12830	0.00001	PRKACA	-0.22080	0.00000	
CDK17	0.22133	0.32883	PRKACA	-0.15949	0.00009	MAPK1	-0.14015	0.00000	
CAMKK1	0.41525	0.32883	PRKCA	-0.21905	0.00018	CHUK	-0.46327	0.00001	
CSNK2A2	-0.25090	0.32883	MAPK3	-0.09416	0.00026	MAPK3	-0.12751	0.00002	
CDK12	0.22133	0.32883	CAMK2A	-0.37239	0.00043	FYN	-0.39363	0.00008	
CDK10	0.22133	0.32883	RPS6KA5	-0.28229	0.00043	GSK3B	-0.21594	0.00012	
CDK18	0.22133	0.32883	RPS6KA3	-0.25601	0.00045	RPS6KA5	-0.31072	0.00012	
MAPK7	0.21916	0.32883	FYN	-0.33456	0.00045	CAMK2A	-0.41086	0.00012	
CDK11B	0.22133	0.32883	EGFR	-0.22723	0.00045	ZAP70	-0.66981	0.00019	
CDK3	0.17708	0.36096	AURKA	-0.50580	0.00074	PDPK1	-0.42796	0.00019	
CDK1	0.12097	0.36096	PAK1	-0.24936	0.00074	LYN	-0.36343	0.00038	
CAMK1	0.21617	0.36096	ATR	-0.33824	0.00116	PRKCZ	-0.37377	0.00041	
PRKG1	0.20817	0.36096	CHUK	-0.30514	0.00118	PRKX	-0.30004	0.00041	
CDK5	0.11503	0.36096	RPS6KA1	-0.23727	0.00160	PRKY	-0.30004	0.00041	
CDK16	0.19478	0.36096	MAPK14	-0.12730	0.00160	PAK1	-0.24924	0.00055	
AURKA	-0.21654	0.36096	INSR	-0.33175	0.00160	ATR	-0.35983	0.00055	
MAPK13	0.20950	0.36096	ZAP70	-0.53629	0.00160	SYK	-0.29476	0.00061	
NLK	0.18927	0.36096	LYN	-0.30380	0.00160	ATM	-0.28268	0.00061	
CDK6	0.14775	0.40858	CAMK1	-0.44816	0.00169	PRKCA	-0.16175	0.00080	
PAK2	0.18277	0.40858	AKT2	-0.23341	0.00179	PRKDC	-0.33415	0.00092	
IKBKB	-0.16380	0.40858	CDK7	-0.25028	0.00179	MAPK14	-0.13332	0.00106	
CHEK1	-0.17373	0.40858	GSK3B	-0.13949	0.00179	CDK1	-0.15293	0.00125	
PRKG2	0.22143	0.40858	RPS6KA4	-0.35605	0.00179	INSR	-0.33164	0.00138	
RPS6KA1	-0.12100	0.40858	AURKB	-0.40729	0.00179	PDK1	-0.13693	0.00187	
MAP3K1	0.20331	0.40858	CDK9	-0.23802	0.00182	RPS6KA3	-0.19302	0.00201	
CDK7	0.12789	0.40858	FLT1	-0.63105	0.00183	AKT2	-0.22646	0.00201	
DYRK2	0.27138	0.40858	FLT4	-0.63105	0.00183	AURKA	-0.42599	0.00208	
PIM1	-0.18056	0.40858	PRKCE	-0.24851	0.00227	EGFR	-0.16460	0.00208	
CSNK1A1	-0.19368	0.40858	PDK1	-0.12526	0.00255	LCK	-0.20405	0.00269	
AXL	0.19344	0.41082	PRKCZ	-0.27877	0.00260	MAPK11	-0.48373	0.00284	
MAP3K7	0.19727	0.41082	CHEK2	-0.33092	0.00260	IKBKE	-0.32655	0.00303	
FER	0.17758	0.41082	CDK2	-0.15387	0.00269	PRKCE	-0.23521	0.00305	
CSNK1D	-0.18197	0.41082	SYK	-0.22578	0.00277	CSNK1D	-0.42756	0.00338	
PLK1	0.15286	0.41176	CDK1	-0.12187	0.00281	MAPKAPK2	-0.25958	0.00395	
IKBKE	-0.14726	0.41176	PLK1	-0.34252	0.00281	CHEK2	-0.30983	0.00395	
CDK8	0.12867	0.41459	LCK	-0.19648	0.00281	CAMK2G	-0.32911	0.00397	
HCK	0.16306	0.41459	CAMK2G	-0.33336	0.00334	AURKB	-0.32782	0.00635	
CHUK	-0.12067	0.41459	PRKDC	-0.25867	0.00358	PLK1	-0.30094	0.00655	
STK11	0.16652	0.42725	CHEK1	-0.32792	0.00358	MAPK8	-0.06140	0.00655	
AKT1	-0.06920	0.43323	MAPKAPK2	-0.25391	0.00376	IKBKB	-0.27851	0.00676	
GSK3B	0.05604	0.45744	PDPK1	-0.26917	0.00376	ROCK1	-0.45406	0.00739	
PRKD1	0.09096	0.45744	CDK4	-0.20617	0.00385	SGK1	-0.26463	0.00857	
PRKX	0.08453	0.45744	MTOR	-0.25110	0.00386	PRKAA1	-0.14935	0.00915	
CAMK2G	0.09888	0.45744	ATM	-0.18344	0.00522	CAMK1	-0.32425	0.00922	
FLT3	-0.14833	0.45744	PRKY	-0.18290	0.00522	FLT1	-0.48023	0.01010	
MAPK11	0.15973	0.45744	PRKX	-0.18290	0.00522	MAPK13	-0.26951	0.01010	
AKT2	-0.06972	0.45744	CDK5	-0.08156	0.00753	PRKCQ	-0.34310	0.01010	
PTK2B	0.19381	0.45744	PRKCQ	-0.32949	0.01073	FLT4	-0.48023	0.01010	
CDK9	0.09140	0.45744	PRKG2	0.41024	0.01073	HCK	-0.30613	0.01133	
CDK2	0.07263	0.45744	RPS6KA2	-0.19501	0.01073	RPS6KA4	-0.24104	0.01136	
PRKAA1	0.06920	0.45744	MAPK11	-0.35878	0.01073	CHEK1	-0.25915	0.01136	
LCK	0.06801	0.45744	SGK494	-0.27709	0.01073	MAP3K14	-0.36337	0.01154	
FYN	0.09292	0.45744	PLK3	-0.36178	0.01073	PIM1	-0.25620	0.01154	
MAPK4	0.12212	0.45744	RPS6KA6	-0.27709	0.01073	RPS6KA1	-0.12122	0.01509	
VRK1	0.13957	0.45744	ROCK1	-0.40371	0.01073	RAF1	-0.23964	0.01509	
RET	0.11061	0.45744	SGK1	-0.23642	0.01073	MAPK9	-0.07072	0.01565	
MAPK15	0.09397	0.45744	DAPK3	-0.40829	0.01073	FLT3	-0.42593	0.01610	
FGR	0.15449	0.45744	KDR	-0.33587	0.01073	DAPK3	-0.37126	0.01651	
ARAF	0.14500	0.45744	PIM1	-0.25186	0.01096	CDK5	-0.05054	0.01679	
FGFR1	0.14986	0.45744	HCK	-0.26828	0.01663	MTOR	-0.17139	0.01705	
CDK4	0.08205	0.45744	CDK6	-0.15125	0.01663	DYRK1A	-0.24283	0.01789	
ERBB2	0.11535	0.45744	MAPK8	-0.02236	0.01952	CSNK2A2	-0.21992	0.01886	
ABL1	0.07526	0.45744	CDK3	-0.16090	0.01992	CDK2	-0.07106	0.01931	
CHEK2	-0.10958	0.45744	ABL1	-0.08500	0.02152	CDK7	-0.11442	0.02471	
SGK2	0.17270	0.45744	AXL	-0.30143	0.02162	PRKCB	-0.12839	0.02533	
EIF2AK2	-0.13454	0.45744	CSNK1A1	-0.24155	0.02313	RPS6KA2	-0.14267	0.02723	
RPS6KA5	-0.06926	0.45744	FGR	-0.36527	0.02647	CSNK1A1	-0.23077	0.02728	
PRKY	0.08453	0.45744	CAMKK1	-0.36231	0.02696	PRKAA2	-0.25065	0.02844	
DAPK3	-0.14467	0.45744	PRKAA2	-0.25062	0.02746	BTK	-0.24200	0.03151	
MAPK6	0.12212	0.45744	FLT3	-0.35611	0.02747	AXL	-0.26783	0.03194	
PDPK1	0.10077	0.45744	CDK8	-0.13893	0.02747	MAPK12	-0.23847	0.03213	
RPS6KB2	0.13277	0.45744	CSNK1D	-0.24763	0.02747	TBK1	-0.21314	0.03275	
MAPK3	0.04428	0.45744	FER	0.22213	0.02798	PRKG2	0.29089	0.03500	
BRAF	0.12505	0.45744	CSNK2A2	-0.18197	0.02930	PRKD1	-0.10264	0.03701	
MAP2K1	0.09234	0.46673	PRKCB	-0.11378	0.02969	MAP3K5	-0.24586	0.03910	
RAF1	0.08624	0.46673	IKBKE	-0.15618	0.03434	PRKCD	-0.06491	0.04053	
PRKDC	0.07194	0.46673	NLK	-0.13155	0.03462	PRKG1	-0.16611	0.04567	
MAPK1	0.03789	0.46673	PRKCG	-0.16112	0.03851	MAPK10	-0.07422	0.04623	
MAP3K5	0.09997	0.46673	CAMK4	-0.18747	0.04215	CDK9	-0.06568	0.04747	
PRKCI	-0.12008	0.46673	STK4	-0.26094	0.04379	KDR	-0.19898	0.04747	
PRKCG	-0.08195	0.46673	IKBKB	-0.13577	0.04457	RPS6KA6	-0.15818	0.04795	
MAP3K14	-0.09367	0.47111	PTK2	-0.15824	0.04772	SGK494	-0.15818	0.04795	
SGK3	0.09439	0.47111	MAPK9	-0.01741	0.04782	ABL1	-0.03771	0.04950	
AKT3	0.08679	0.47111	MAP3K5	-0.21563	0.04923	FGFR1	-0.24671	0.04950	
SRC	0.03810	0.47111	PRKCD	-0.05092	0.04969	PTK2B	-0.28325	0.05019	
PTK6	-0.10826	0.47111	PRKAA1	-0.04968	0.05039	RET	0.10892	0.05314	
MAPK14	0.04349	0.47292	ARAF	0.27793	0.05067	CDK4	-0.06095	0.05333	
RPS6KA3	-0.05224	0.47292	CDK18	-0.11598	0.05090	MAP3K8	-0.12930	0.05448	
SYK	0.05588	0.48116	CDK17	-0.11598	0.05090	CDK6	-0.06935	0.05580	
MTOR	0.06095	0.48116	CDK13	-0.11598	0.05090	GSK3A	-0.10275	0.05580	
PRKACA	0.03517	0.48287	CDK12	-0.11598	0.05090	STK11	-0.17011	0.05915	
RPS6KA2	-0.05923	0.48287	CDK16	-0.10647	0.05090	MAP2K7	0.25734	0.05921	
MAP3K8	0.06474	0.48287	MAP2K4	-0.14340	0.05090	NLK	-0.07567	0.07032	
STK4	-0.08442	0.48287	CDK19	-0.11598	0.05090	PRKAB1	0.22819	0.07442	
PRKAB1	0.08752	0.48800	CDK10	-0.11598	0.05090	PTK2	-0.11396	0.07442	
PLK3	-0.06928	0.49998	CDK11B	-0.11598	0.05090	MAPK7	-0.06155	0.08198	
INSR	-0.05151	0.49998	CDK20	-0.09714	0.05685	PLK3	-0.15593	0.08198	
RPS6KA6	-0.05696	0.49998	MAP3K14	-0.18794	0.05724	PRKCG	-0.09161	0.08198	
PTK2	-0.05818	0.49998	PRKD1	-0.06365	0.05724	FER	0.11441	0.08305	
SGK494	-0.05696	0.49998	PTK2B	-0.24140	0.06217	CDK3	-0.05177	0.08305	
RPS6KA4	-0.05175	0.50097	MAP3K8	-0.11004	0.06217	EIF2AK2	-0.14723	0.08514	
LYN	0.02862	0.50326	MAPK7	-0.07329	0.06744	PTK6	-0.20496	0.08514	
MET	-0.05276	0.50326	RPS6KB2	0.19273	0.06914	PAK2	0.10955	0.08523	
ZAP70	0.03715	0.50326	MAPK13	-0.09475	0.07384	RPS6KB1	-0.02812	0.08564	
PRKCA	-0.02282	0.50326	PTK6	-0.21606	0.07425	CAMK2B	-0.16567	0.08564	
FLT1	0.03732	0.50326	RPS6KB1	-0.03714	0.07494	CDK16	0.05979	0.08564	
CAMK4	-0.03515	0.50326	PKN1	-0.11667	0.07604	FGR	-0.19806	0.08564	
JAK2	-0.03309	0.50326	VRK1	-0.09341	0.08400	VRK1	-0.09304	0.08564	
PKN1	-0.04992	0.50326	RAF1	-0.07449	0.09087	PAK4	-0.16015	0.08894	
FLT4	0.03732	0.50326	MAPK10	-0.01751	0.09144	PKN1	-0.09902	0.08897	
KDR	0.04888	0.50326	TBK1	-0.09690	0.09158	NUAK1	-0.15890	0.08897	
AURKB	0.03741	0.50326	PRKCI	-0.17402	0.09888	CDK18	0.05767	0.08971	
PDGFRB	0.02973	0.50326	MET	-0.06888	0.10591	CDK19	0.05767	0.08971	
JAK1	0.04454	0.50326	BRAF	0.13501	0.10591	CDK12	0.05767	0.08971	
MAP2K4	0.03471	0.50326	RET	-0.03327	0.11487	SGK3	-0.12938	0.08971	
ALK	0.06466	0.50326	MAP3K7	0.10146	0.11584	CDK17	0.05767	0.08971	
ATM	0.02676	0.50326	MAPK4	-0.05212	0.12131	CDK13	0.05767	0.08971	
ROCK1	0.04352	0.50326	EIF2AK2	-0.09476	0.12131	CDK10	0.05767	0.08971	
ATR	0.04234	0.50326	MAPK6	-0.05212	0.12131	CDK11B	0.05767	0.08971	
CAMK2B	0.04542	0.50326	MAPK12	0.07539	0.12174	MAP2K1	0.08498	0.09578	
DYRK1A	-0.03388	0.50326	PAK2	0.06160	0.12174	ALK	0.16690	0.09660	
PRKCE	-0.04261	0.50326	CAMK2B	-0.11016	0.12196	PDGFRB	0.06997	0.09660	
PRKCQ	-0.03659	0.50326	STK11	-0.07148	0.12385	MET	-0.06031	0.10557	
TBK1	-0.03110	0.50326	PAK4	-0.10159	0.12759	MAP2K4	0.06053	0.10557	
